"word","n"
"wave",27
"beach",21
"river",15
"ocean",8
"bay",6
"rivers",6
"flooding",5
"waves",5
"swimming",4
"#fallriver",2
"fishing",2
"seals",2
"#buttonwoodsbeach",1
"#crunchfallriver",1
"#driver",1
"#narragansettbay",1
"#openhousealert",1
"#riverdale",1
"#thrivers",1
"🎬🎥📷waves",1
"2minutebeachclean",1
"backbay",1
"baya",1
"baybee",1
"bayeks",1
"bayhawks",1
"bayless",1
"beaches",1
"drought️",1
"ebay",1
"ferry",1
"hiking",1
"microwaved",1
"oceanic😂😅",1
"seal",1
"tide",1
"tides",1
"wetlands",1
