"word","date"
"airwaves",2020-03-20
"beach",2020-03-20
"bay",2020-03-20
"river",2020-03-20
"fishing",2020-03-20
"ocean",2020-03-20
"seafood",2020-03-20
"bay",2020-03-20
"#clearwaterbeach",2020-03-20
"tide",2020-03-20
"tide",2020-03-20
"beach",2020-03-20
"bay",2020-03-20
"river",2020-03-20
"river",2020-03-20
"oceans",2020-03-20
"wave",2020-03-20
"wave",2020-03-20
"river",2020-03-20
"forest",2020-03-20
"river",2020-03-20
"river",2020-03-20
"beach",2020-03-20
"wave",2020-03-20
"seafood",2020-03-20
"flooding",2020-03-20
"river",2020-03-20
"ocean",2020-03-20
"riverview",2020-03-20
"river",2020-03-20
"river",2020-03-20
"river",2020-03-20
"river",2020-03-20
"river",2020-03-20
"river",2020-03-20
"wave",2020-03-20
"#ocean",2020-03-20
"bay",2020-03-20
"river",2020-03-20
"#braveriver",2020-03-20
"seal",2020-03-20
"bay",2020-03-20
"drought",2020-03-20
"bombays",2020-03-20
"bay",2020-03-20
"wave",2020-03-20
"fishing",2020-03-20
"bay",2020-03-20
"ocean",2020-03-20
"bay",2020-03-20
"ocean",2020-03-20
"bay",2020-03-20
"seal",2020-03-20
"bay",2020-03-20
"seal",2020-03-20
"#doorsoffallriver",2020-03-20
"#startthewave",2020-03-20
"wave",2020-03-20
"ebay",2020-03-20
"bay",2020-03-20
"bay",2020-03-20
"bay",2020-03-20
"bay",2020-03-20
"bay",2020-03-20
"forest",2020-03-20
"swimming",2020-03-20
"beach",2020-03-20
"oceanseleven",2020-03-20
"bays",2020-03-20
"river",2020-03-20
"#driver",2020-03-20
"river",2020-03-20
"swimming",2020-03-20
"bay",2020-03-20
"river",2020-03-20
"seal",2020-03-20
"bay",2020-03-20
"bay",2020-03-20
"beachesanywhere",2020-03-20
"bay",2020-03-20
"fishing",2020-03-20
"river",2020-03-20
"river",2020-03-20
"tide",2020-03-20
"forest",2020-03-20
"fishinggood",2020-03-20
"ocean",2020-03-20
"ocean",2020-03-20
"ocean",2020-03-20
"river",2020-03-20
"#tidepodchallenge",2020-03-20
"wave",2020-03-20
"river",2020-03-20
"river",2020-03-20
"$justicerivera26",2020-03-20
"bay",2020-03-20
"wave",2020-03-20
"beach",2020-03-20
"river",2020-03-20
"forest",2020-03-20
"wakeforest",2020-03-20
"beach",2020-03-20
