"word","n"
"wave",20
"bay",9
"beach",9
"fishing",8
"river",8
"ocean",7
"flooding",2
"forest",2
"wavering",2
"#beachpanning",1
"#beachphotography",1
"#beachprints",1
"#hobiefishing",1
"#narragansettbay",1
"#oceanstateharleydavidson",1
"#river",1
"#riverside",1
"#synthwave",1
"#worldoceansday",1
"bayberry",1
"ferry",1
"hiking",1
"oceans",1
"sndwave",1
"tides",1
"vaporwave",1
"wavered",1
"wavey",1
