"word","n"
"river",30
"beach",21
"bay",11
"ocean",10
"wave",9
"forest",4
"ferry",3
"fishing",3
"seafood",3
"#buzzardsbay",2
"#ocean",2
"sealioning",2
"swimming",2
"tide",2
"#flyfishing",1
"#oceanliving",1
"#oceanstate",1
"#oceanstateshields",1
"#oceanview",1
"#seafood",1
"#seaweed",1
"~ocean",1
"bayatakosthadi",1
"bayo",1
"belowaveragejoemore",1
"boating",1
"drought",1
"forestry",1
"forests",1
"riverine",1
"rivermount",1
"soundwave",1
"tides",1
"twinrivercasino",1
"wavered",1
