"word","n"
"beach",17
"river",15
"ocean",13
"wave",9
"bay",6
"seafood",5
"forest",4
"#adamdriverisoverparty",3
"fishing",3
"seal",3
"tide",3
"ferry",2
"tides",2
"#adamdriverismyfuckenboi",1
"#bayhawkgrit",1
"#bayviewgoesvirtual",1
"#buttonwoodsbeach",1
"#commercialfishing",1
"#fallriverfit",1
"#fallriverpride",1
"#fishingaddict",1
"#fishingdaily",1
"#fishingday",1
"#fishinglife",1
"#fishingtime",1
"#hobiefishing",1
"#junkanoobeach",1
"#lovefishing",1
"#lovetheocean",1
"#newbedfordfishing",1
"#ocean",1
"#oceanstatejoblot",1
"#readyforthebeach",1
"#sportfishing",1
"#tbofishing",1
"airwaves",1
"baybee",1
"brainwaves",1
"drought",1
"flooding",1
"microwaves",1
"oceans",1
"oceansea",1
"oceanside",1
"parksbeachesand",1
"resealable",1
"waver",1
"wetlands",1
