"word","n"
"beach",29
"bay",18
"river",14
"ocean",12
"wave",12
"swimming",8
"fishing",6
"hiking",5
"forest",4
"flooding",3
"oceans",3
"seafood",3
"#boating",2
"tide",2
"tides",2
"#beach",1
"#bristolbayhawk",1
"#driver",1
"#fallriverfit",1
"#fishing",1
"#forestry",1
"#gofishing",1
"#hobiefishing",1
"#liveriverhouse",1
"#mysticriver",1
"#ocean",1
"#swimming",1
"#tbofishing",1
"#waverlyearp",1
"baybeeee",1
"baygtgtgtgtgtgtgt",1
"boating",1
"deforestation",1
"ferry",1
"ferrying",1
"fryfishing",1
"jbeach63",1
"kayaking",1
"kuribayashis",1
"microwaveable",1
"oceanographers",1
"riverbank",1
"savethebayri",1
"seal",1
"waverider",1
