"word","n"
"river",23
"bay",20
"wave",8
"ocean",7
"beach",6
"forest",4
"seal",4
"fishing",3
"tide",3
"seafood",2
"swimming",2
"#braveriver",1
"#clearwaterbeach",1
"#doorsoffallriver",1
"#driver",1
"#ocean",1
"#startthewave",1
"#tidepodchallenge",1
"$justicerivera26",1
"airwaves",1
"bays",1
"beachesanywhere",1
"bombays",1
"drought",1
"ebay",1
"fishinggood",1
"flooding",1
"oceans",1
"oceanseleven",1
"riverview",1
"wakeforest",1
